"","report_date","purchase","redeem"
"355",2014-06-20,226974141,333222993
"356",2014-06-21,186364721,169065467
"357",2014-06-22,143403001,232029485
"358",2014-06-23,304220528,444554691
"359",2014-06-24,298405851,342707532
"360",2014-06-25,271335080,319358448
"361",2014-06-26,223576983,498151313
"362",2014-06-27,186455771,307276813
"363",2014-06-28,181197896,199382031
"364",2014-06-29,171945311,238934317
"365",2014-06-30,331665096,425796747
"366",2014-07-01,379361211,358485374
"367",2014-07-02,301263008,364268994
"368",2014-07-03,205360896,257959811
"369",2014-07-04,221546458,253548445
"370",2014-07-05,162447667,168602028
"371",2014-07-06,163090528,250453540
"372",2014-07-07,330300280,332660498
"373",2014-07-08,237821679,363952447
"374",2014-07-09,254180106,308883169
"375",2014-07-10,277110154,322207184
"376",2014-07-11,233743113,266630674
"377",2014-07-12,149584303,173485119
"378",2014-07-13,142610813,218339981
"379",2014-07-14,246080213,272164963
"380",2014-07-15,299355385,369452520
"381",2014-07-16,277080654,278415089
"382",2014-07-17,254493213,204597291
"383",2014-07-18,191967546,162854740
"384",2014-07-19,153934641,122809272
"385",2014-07-20,174324225,157986108
"386",2014-07-21,241509367,325273684
"387",2014-07-22,222479621,307691465
"388",2014-07-23,281820273,289004852
"389",2014-07-24,257332381,284291000
"390",2014-07-25,203397102,233005216
"391",2014-07-26,198457820,152163398
"392",2014-07-27,162389176,281734449
"393",2014-07-28,253136439,393656353
"394",2014-07-29,325692942,185509598
"395",2014-07-30,239088792,278053927
"396",2014-07-31,228056623,269628521
"397",2014-08-01,378242546,282593743
"398",2014-08-02,152120792,162090956
"399",2014-08-03,154077981,121165959
"400",2014-08-04,254890053,248676024
"401",2014-08-05,311680953,278473251
"402",2014-08-06,269143684,247713799
"403",2014-08-07,256485155,283816788
"404",2014-08-08,228097887,204391027
"405",2014-08-09,146751994,143619719
"406",2014-08-10,164174384,223625820
"407",2014-08-11,284695009,385895199
"408",2014-08-12,260705801,254258310
"409",2014-08-13,262139305,308734578
"410",2014-08-14,248894735,252702796
"411",2014-08-15,268968079,221094668
"412",2014-08-16,158553438,158797400
"413",2014-08-17,161198309,194379633
"414",2014-08-18,280533543,385940924
"415",2014-08-19,236052637,247704409
"416",2014-08-20,209205785,244720592
"417",2014-08-21,234392568,185570807
"418",2014-08-22,182566127,232911054
"419",2014-08-23,154613502,196780196
"420",2014-08-24,134164401,209908787
"421",2014-08-25,283116043,264492485
"422",2014-08-26,241046273,271225580
"423",2014-08-27,227515169,345649378
"424",2014-08-28,240376956,327274182
"425",2014-08-29,214114844,359195182
"426",2014-08-30,183547267,201759798
"427",2014-08-31,205369438,159162656
