"","report_date","total_purchase_amt","total_redeem_amt"
"111",20131019,68636657,23968606
"112",20131020,48959214,27368899
"113",20131021,95524850,59572597
"114",20131022,95994921,32306909
"115",20131023,113968905,71815090
"116",20131024,115894947,64099726
"117",20131025,83645857,57177244
"118",20131026,69129858,34036067
"119",20131027,46240083,32255220
"120",20131028,141784745,86105840
"121",20131029,144128441,55616862
"122",20131030,119990701,65714818
"123",20131031,106446666,60792136
"124",20131101,113908445,47201726
"125",20131102,65745603,56721667
"126",20131103,101733082,49274635
"127",20131104,108112853,59440726
"128",20131105,146410579,106464523
"129",20131106,190660548,78404711
"130",20131107,209108024,112361107
"131",20131108,215537881,81889151
"132",20131109,137909899,120120150
"133",20131110,156598795,78046514
"134",20131111,161643624,231079781
"135",20131112,190346670,60089548
"136",20131113,205447158,58935081
"137",20131114,171816174,81730697
"138",20131115,148856634,56739741
"139",20131116,102626905,35441721
"140",20131117,169724778,101591422
"141",20131118,169279395,104784006
"142",20131119,167285079,110649053
"143",20131120,159257201,91775390
"144",20131121,199234441,66282749
"145",20131122,120132119,131130852
"146",20131123,91153709,51147407
"147",20131124,68982715,47484544
"148",20131125,213533754,96546794
"149",20131126,154250453,79865618
"150",20131127,157187782,104517983
"151",20131128,178822027,66396285
"152",20131129,133837166,80990216
"153",20131130,90562154,62462755
"154",20131201,136608219,79131345
"155",20131202,226255513,158221283
"156",20131203,209381840,120018391
"157",20131204,213001017,71815311
"158",20131205,214267156,106748336
"159",20131206,137704321,74161010
"160",20131207,128121694,66305643
"161",20131208,134965151,102227092
"162",20131209,167707932,94797181
"163",20131210,211822389,112182980
"164",20131211,220910956,86463798
"165",20131212,267366609,125915528
"166",20131213,204702561,88731290
"167",20131214,90152932,83270990
"168",20131215,178693764,65790880
"169",20131216,273057306,112900415
"170",20131217,231503168,144022103
"171",20131218,269603452,187867986
"172",20131219,192474712,158276383
"173",20131220,166279473,223750761
"174",20131221,151957152,102152447
"175",20131222,125358549,98102702
"176",20131223,209876171,194456829
"177",20131224,253602439,164848006
"178",20131225,234448757,134167255
"179",20131226,311704402,208311701
"180",20131227,222485853,131679629
"181",20131228,182785166,98104129
"182",20131229,185470265,142581327
"183",20131230,362825101,242198690
"184",20131231,327593949,138556847
"185",20140101,268225130,71998298
"186",20140102,399371620,144325798
"187",20140103,305197714,138254214
"188",20140104,227512180,99015862
"189",20140105,229859102,76792074
"190",20140106,353888229,170490472
"191",20140107,316343704,217764786
"192",20140108,459914488,186301933
"193",20140109,317152552,144740990
"194",20140110,305353538,147369671
"195",20140111,243856546,106818029
"196",20140112,244211834,118444354
"197",20140113,480559376,167092489
"198",20140114,396007245,183316114
"199",20140115,404213665,174298722
"200",20140116,400717191,185807001
"201",20140117,336505136,180119541
"202",20140118,196545810,130390535
"203",20140119,253085628,133676080
"204",20140120,432318217,232704651
"205",20140121,402800017,226004497
"206",20140122,434261049,251148835
"207",20140123,377686588,213677070
"208",20140124,481418338,271897472
"209",20140125,333085606,205770515
"210",20140126,547245096,212595927
"211",20140127,719238313,258277367
"212",20140128,1041781766,278215798
"213",20140129,953340989,202959025
"214",20140130,276949245,89980372
"215",20140131,100126259,38252882
"216",20140201,94202237,39650143
"217",20140202,75911390,46925858
"218",20140203,89387640,59424132
"219",20140204,112298674,87987987
"220",20140205,158828773,81438995
"221",20140206,301228397,144834116
"222",20140207,528804809,325586521
"223",20140208,424704256,174854702
"224",20140209,397932223,230719171
"225",20140210,803382213,380169957
"226",20140211,716736131,328334647
"227",20140212,639852651,256952656
"228",20140213,621665295,328398864
"229",20140214,561090222,280362004
"230",20140215,277105472,134793668
"231",20140216,431823640,173667560
"232",20140217,629566299,348919224
"233",20140218,674423105,279093114
"234",20140219,658154230,410226458
"235",20140220,476540823,329713764
"236",20140221,496611071,251233658
"237",20140222,372445291,135321194
"238",20140223,465658767,181511976
"239",20140224,649128724,371899666
"240",20140225,701517786,495173867
"241",20140226,597065555,383523500
"242",20140227,604778478,412489888
"243",20140228,444872486,341633924
"244",20140301,295488471,249654054
"245",20140302,301189118,209953597
"246",20140303,571472773,530982332
"247",20140304,539390957,395545357
"248",20140305,474532784,330989335
"249",20140306,423458792,379706460
"250",20140307,382066816,207542591
"251",20140308,230965072,186080783
"252",20140309,264641541,298526437
"253",20140310,458335903,380455325
"254",20140311,426600599,360844610
"255",20140312,401569835,364276487
"256",20140313,334701177,297835784
"257",20140314,327035440,265146248
"258",20140315,246305021,273549680
"259",20140316,244897481,293542339
"260",20140317,435252580,426888559
"261",20140318,346672344,355532225
"262",20140319,337569355,365586318
"263",20140320,363746071,332705894
"264",20140321,269540346,228577145
"265",20140322,198650357,220074928
"266",20140323,200684558,260213183
"267",20140324,357217771,498895000
"268",20140325,298476776,368296634
"269",20140326,312659581,379754638
"270",20140327,267641004,374287915
"271",20140328,235214205,347561604
"272",20140329,209216336,185541865
"273",20140330,173355905,204426744
"274",20140331,383436672,470840070
"275",20140401,522634424,377508777
"276",20140402,457069013,282062202
"277",20140403,347271047,248456529
"278",20140404,277853759,210637803
"279",20140405,171055732,108176356
"280",20140406,166087700,159198201
"281",20140407,224555292,229437060
"282",20140408,361399396,289976570
"283",20140409,383639924,313977605
"284",20140410,426330874,238905936
"285",20140411,335499110,246234665
"286",20140412,211908984,194665312
"287",20140413,187199709,218121644
"288",20140414,385747458,368522207
"289",20140415,375732454,347703646
"290",20140416,368772799,330444825
"291",20140417,338546119,285061784
"292",20140418,263878801,253349165
"293",20140419,153024208,161242640
"294",20140420,179712879,189839518
"295",20140421,342336879,301414886
"296",20140422,347883781,277263181
"297",20140423,294499565,303143778
"298",20140424,263703312,286626625
"299",20140425,254685740,296361356
"300",20140426,173899051,169201614
"301",20140427,215860464,235705461
"302",20140428,279457814,322620210
"303",20140429,299900420,267424418
"304",20140430,276621270,255600780
"305",20140501,195416986,123365599
"306",20140502,172040210,148125086
"307",20140503,211279641,182384230
"308",20140504,311202427,354520093
"309",20140505,417319364,294914448
"310",20140506,397363792,324039297
"311",20140507,360853601,346982341
"312",20140508,309042886,325289146
"313",20140509,293249051,204587696
"314",20140510,169581641,124600990
"315",20140511,243401238,167140951
"316",20140512,347850682,374814359
"317",20140513,336230072,301613809
"318",20140514,275613375,315092169
"319",20140515,311207005,283237743
"320",20140516,260172964,230553142
"321",20140517,182215089,169322157
"322",20140518,210674816,182350651
"323",20140519,300888485,378827197
"324",20140520,328512451,307266612
"325",20140521,293515297,288798782
"326",20140522,274131447,254591255
"327",20140523,243864757,234427781
"328",20140524,153920868,207286156
"329",20140525,185619261,202957940
"330",20140526,316839254,357524439
"331",20140527,309308550,301393636
"332",20140528,285586443,312745910
"333",20140529,289436490,304590654
"334",20140530,254807397,265988719
"335",20140531,145153074,165077489
"336",20140601,200015087,185513122
"337",20140602,182022852,180973945
"338",20140603,320037853,463328636
"339",20140604,329954011,272399352
"340",20140605,329521456,285407457
"341",20140606,235671535,262779936
"342",20140607,187193049,153912629
"343",20140608,214936719,183039777
"344",20140609,330581283,328873241
"345",20140610,354436596,273267090
"346",20140611,335771785,252074494
"347",20140612,276678203,294454931
"348",20140613,268500071,223014794
"349",20140614,204538016,191800152
"350",20140615,194732351,223416262
"351",20140616,330400629,353901356
"352",20140617,326538505,380422083
"353",20140618,287534724,379400750
"354",20140619,273851398,374932126
"355",20140620,252941720,296260154
"356",20140621,165341034,189183272
"357",20140622,154821452,216721142
"358",20140623,279839692,404709727
"359",20140624,288549757,492392325
"360",20140625,293818308,435329783
"361",20140626,276031070,442142416
"362",20140627,211322533,326279536
"363",20140628,168384114,215810016
"364",20140629,190590217,302214842
"365",20140630,369844704,450866845
"366",20140701,412532342,361287774
"367",20140702,402039927,426424386
"368",20140703,266909769,347694053
"369",20140704,251450529,250101790
"370",20140705,199114072,204500798
"371",20140706,193196191,172324586
"372",20140707,357113755,322644857
"373",20140708,276776457,311555771
"374",20140709,281560599,425647886
"375",20140710,324312889,323019990
"376",20140711,270720710,257762393
"377",20140712,174106139,183645372
"378",20140713,177031673,160200166
"379",20140714,305564192,312815640
"380",20140715,314592059,278138322
"381",20140716,332079433,316413824
"382",20140717,257500939,326598100
"383",20140718,209888504,240710523
"384",20140719,191197585,196617756
"385",20140720,176881761,229056601
"386",20140721,231336817,359927797
"387",20140722,301131477,455062913
"388",20140723,305237223,381974838
"389",20140724,255803889,343420653
"390",20140725,252319226,231958796
"391",20140726,155212922,164792570
"392",20140727,153801915,180755663
"393",20140728,287341889,355035563
"394",20140729,258160386,225133404
"395",20140730,261510121,305759455
"396",20140731,273037963,399915417
"397",20140801,281470830,279023983
"398",20140802,195733769,156922841
"399",20140803,185661890,212538542
"400",20140804,329138428,282650723
"401",20140805,313170117,284000753
"402",20140806,251373145,287162859
"403",20140807,212895825,284433526
"404",20140808,264521028,265949454
"405",20140809,167389161,165032891
"406",20140810,186962714,199625021
"407",20140811,317989453,317115862
"408",20140812,296865284,278682552
"409",20140813,309421689,306916090
"410",20140814,225051313,219485167
"411",20140815,249691367,250730336
"412",20140816,206552777,166705006
"413",20140817,176938309,167627855
"414",20140818,344345190,281160235
"415",20140819,294912950,256202573
"416",20140820,290391098,293568330
"417",20140821,267600672,275002914
"418",20140822,208170439,252888782
"419",20140823,158102556,198406131
"420",20140824,182631426,208550756
"421",20140825,267280804,338687224
"422",20140826,237893588,369943719
"423",20140827,277616299,416820098
"424",20140828,297756264,391607328
"425",20140829,260370255,290919484
"426",20140830,209767730,231827436
"427",20140831,208349291,219923861
