"","report_date","tBalance","yBalance","total_purchase_amt","direct_purchase_amt","purchase_bal_amt","purchase_bank_amt","total_redeem_amt","consume_amt","transfer_amt","tftobal_amt","tftocard_amt","share_amt","category1","category2","category3","category4"
"53",2013-08-22,1572687349,1564762311,26545809,26361116,16001677,10359439,18620771,3503993,15116778,2428247,12688531,184693,2253959,340765,0,909269
"54",2013-08-23,1590532777,1572687349,33855284,33666183,16400288,17265895,16009856,1538685,14471171,12556865,1914306,189101,224730,247290,0,1066665
"55",2013-08-24,1630680253,1590532777,54574111,54384504,40988192,13396312,14426635,2367658,12058977,4961168,7097809,189607,551845,962623,0,853190
"56",2013-08-25,1635840324,1630680253,17586501,17397352,10997586,6399766,12426430,3509455,8916975,8762279,154696,189149,2671602,194620,0,643233
"57",2013-08-26,1671090382,1635840324,52044963,51861372,41628801,10232571,16794905,2065328,14729577,8991833,5737744,183591,259720,264590,0,1541018
"58",2013-08-27,1696789616,1671090382,49273164,49082554,39525564,9556990,23573930,3117900,20456030,8392017,12064013,190610,1922865,3e+05,0,895035
"59",2013-08-28,1685353974,1696789616,57249467,57049791,41561760,15488031,68685109,3830415,64854694,6781876,58072818,199676,2197590,263067,0,1369758
"60",2013-08-29,1686366204,1685353974,31008331,30793612,25236052,5557560,29996101,4602608,25393493,6176329,19217164,214719,3038640,197708,0,1366260
"61",2013-08-30,1697906931,1686366204,29172174,28938989,15741366,13197623,17631447,3944857,13686590,13159235,527355,233185,1952700,367096,0,1625061
"62",2013-08-31,1712733150,1697906931,27720016,27516648,20377914,7138734,12893797,2831760,10062037,7020217,3041820,203368,1792801,71660,0,967299
"63",2013-09-01,1754854153,1712733150,60276302,60073843,46978515,13095328,18155299,3670712,14484587,3090858,11393729,202459,1658696,665245,0,1346771
"64",2013-09-02,1769585532,1754854153,42168974,41929133,29423681,12505452,27437595,9166900,18270695,8704830,9565865,239841,7816105,375896,0,974899
"65",2013-09-03,1807044403,1769585532,58345539,58139248,31959074,26180174,20886668,2700732,18185936,7347956,10837980,206291,338664,921889,0,1440179
"66",2013-09-04,1838657333,1807044403,55301172,55084883,27406784,27678099,23688242,2002058,21686184,6592151,15094033,216289,909707,403850,0,688501
"67",2013-09-05,1863220908,1838657333,42500904,42280410,27775696,14504714,17937329,3328021,14609308,10071435,4537873,220494,1718998,551746,0,1057277
"68",2013-09-06,1879126074,1863220908,38650095,38375933,32755104,5620829,22744929,5531989,17212940,11140373,6072567,274162,3745199,417838,0,1368952
"69",2013-09-07,1911097439,1879126074,49801798,49573462,43380904,6192558,17830433,3152654,14677779,5505208,9172571,228336,1937784,368693,0,846177
"70",2013-09-08,1916514207,1911097439,24810658,24583925,16613375,7970550,19393890,3245533,16148357,4564656,11583701,226733,1663590,392680,0,1189263
"71",2013-09-09,1949549855,1916514207,55565482,55299764,33071148,22228616,22529834,4127573,18402261,7246619,11155642,265718,647868,399192,0,3080513
"72",2013-09-10,1968974098,1949549855,81305151,81041156,42728313,38312843,61880908,15458300,46422608,2324160,44098448,263995,11374109,964003,0,3120188
"73",2013-09-11,2016405468,1968974098,93077458,92841207,69183066,23658141,45646088,5719981,39926107,4514314,35411793,236251,3857800,537900,0,1324281
"74",2013-09-12,2049644326,2016405468,50035862,49793384,26106594,23686790,16797004,5658689,11138315,5575154,5563161,242478,3411298,648200,0,1599191
"75",2013-09-13,2087061315,2049644326,48041116,47765272,35159106,12606166,10624127,1808600,8815527,4513217,4302310,275844,309848,333575,0,1165177
"76",2013-09-14,2099176827,2087061315,34379286,34122646,21281351,12841295,22263774,3079714,19184060,4538698,14645362,256640,1655167,424000,0,1000547
"77",2013-09-15,2120747966,2099176827,38956366,38700933,17217667,21483266,17385227,5634249,11750978,853020,10897958,255433,4341713,89800,0,1202736
"78",2013-09-16,2210870928,2120747966,104399397,104112508,62750754,41361754,14276435,3109453,11166982,6044315,5122667,286889,968347,644363,0,1496743
"79",2013-09-17,2265058108,2210870928,75209349,74952042,49253273,25698769,21022169,3303142,17719027,7357477,10361550,257307,992310,795872,0,1514960
"80",2013-09-18,2289249638,2265058108,41969227,41676513,19003992,22672521,17777697,3089720,14687977,3804555,10883422,292714,2093607,207320,0,788793
"81",2013-09-19,2319015925,2289249638,40861546,40578994,29908293,10670701,11095259,1848349,9246910,3900208,5346702,282552,225500,67650,0,1555199
"82",2013-09-20,2336907122,2319015925,33601331,33314898,18970383,14344515,15710134,5894084,9816050,3799387,6016663,286433,3414531,237000,0,2242553
"83",2013-09-21,2375329810,2336907122,61641978,61352772,55025567,6327205,23219290,7155368,16063922,4365888,11698034,289206,4913280,385090,0,1856998
"84",2013-09-22,2358712937,2375329810,59188234,58901313,39525891,19375422,75805107,5797992,70007115,37904910,32102205,286921,3941305,746412,0,1110275
"85",2013-09-23,2369486968,2358712937,37338427,37063111,24132612,12930499,26564396,3438265,23126131,7525512,15600619,275316,1111347,669100,0,1657818
"86",2013-09-24,2398773150,2369486968,56008378,55709534,38870368,16839166,26722196,5033655,21688541,4030406,17658135,298844,3411041,405626,0,1216988
"87",2013-09-25,2451415882,2398773150,107206248,106880957,72730654,34150303,54563516,8592606,45970910,9898931,36071979,325291,6637557,141328,0,1813721
"88",2013-09-26,2468765438,2451415882,49684160,49345581,26045957,23299624,32334604,10118799,22215805,5084150,17131655,338579,7591912,1420150,0,1106737
"89",2013-09-27,2498419633,2468765438,51076556,50743216,31193577,19549639,21422361,5246300,16176061,4460362,11715699,333340,3077324,547172,0,1621804
"90",2013-09-28,2507517815,2498419633,46758852,46437755,18123455,28314300,37660670,4886816,32773854,5401747,27372107,321097,1496987,279624,0,3110205
"91",2013-09-29,2506095067,2507517815,76038490,75720045,63674192,12045853,77461238,6882049,70579189,18523244,52055945,318445,4230000,1000783,0,1651266
"92",2013-09-30,2521145674,2506095067,49151321,48840287,36660233,12180054,34100714,6586876,27513838,15130243,12383595,311034,3523961,567535,0,2495380
"93",2013-10-01,2535135032,2521145674,22858568,22540090,6968440,15571650,8869210,2029701,6839509,3042784,3796725,318478,586936,612920,0,829845
"94",2013-10-02,2540441838,2535135032,15700008,15369419,7568936,7800483,10393202,5441231,4951971,3027707,1924264,330589,3619000,1029494,0,792737
"95",2013-10-03,2532993043,2540441838,7251212,6919037,2848099,4070938,14700007,8037550,6662457,1374736,5287721,332175,5210326,175000,0,2652224
"96",2013-10-04,2543815092,2532993043,22868589,22536444,16994428,5542016,12046540,3663642,8382898,4630229,3752669,332145,2489466,64043,0,1110133
"97",2013-10-05,2552040358,2543815092,21245166,20913463,12398601,8514862,13019900,2137206,10882694,4162463,6720231,331703,594920,491949,0,1050337
"98",2013-10-06,2577624656,2552040358,40318288,39989569,27399814,12589755,14733990,8375247,6358743,4041920,2316823,328719,4002343,2181309,0,2191595
"99",2013-10-07,2551748907,2577624656,56730939,56403577,38085109,18318468,82606688,6253120,76353568,14605167,61748401,327362,2328857,1374106,0,2550157
"100",2013-10-08,2606038224,2551748907,115047417,114684319,85494256,29190063,60758100,6787407,53970693,11851857,42118836,363098,3785296,391390,0,2610721
"101",2013-10-09,2646766870,2606038224,67339813,67017704,40227052,26790652,26611167,5516809,21094358,4717662,16376696,322109,3118543,1553413,0,844853
"102",2013-10-10,2704276450,2646766870,93642539,93304906,54136413,39168493,36132959,5512242,30620717,2129323,28491394,337633,3810614,441639,0,1259989
"103",2013-10-11,2741475909,2704276450,68845671,68502962,30953515,37549447,31646212,3968613,27677599,5859621,21817978,342709,1499112,334185,0,2135316
"104",2013-10-12,2800064502,2741475909,95312628,94963221,64858020,30105201,36724035,3969077,32754958,7862846,24892112,349407,1452575,423916,0,2092586
"105",2013-10-13,2793557650,2800064502,40381173,40032633,23316317,16716316,46888025,3502059,43385966,7734419,35651547,348540,574176,1620200,0,1307683
"106",2013-10-14,2910472479,2793557650,158158044,157821450,124249101,33572349,41243215,4014473,37228742,4244494,32984248,336594,1856274,547200,0,1610999
"107",2013-10-15,2960961762,2910472479,108776071,108420341,70850621,37569720,58286788,5327927,52958861,17002218,35956643,355730,1511466,1160233,0,2656228
"108",2013-10-16,3077256887,2960961762,156977224,156603156,107487455,49115701,40682099,4961558,35720541,14331238,21389303,374068,2660646,255489,0,2045423
"109",2013-10-17,3105093789,3077256887,73354575,72976649,29558558,43418091,45517673,6044008,39473665,14564030,24909635,377926,4033900,988700,0,1021408
"110",2013-10-18,3156023345,3105093789,80573607,80182522,40782542,39399980,29644051,5235727,24408324,10151775,14256549,391085,894709,729582,0,3611436
"111",2013-10-19,3191048643,3156023345,47140830,46745709,21276944,25468765,12115532,3913885,8201647,6650807,1550840,395121,1480037,984504,0,1449344
"112",2013-10-20,3241954238,3191048643,78146352,77751112,50725520,27025592,27240757,4058493,23182264,8673567,14508697,395240,1462766,376750,0,2218977
"113",2013-10-21,3247632482,3241954238,92303765,91893353,40652555,51240798,86625521,14499661,72125860,29245767,42880093,410412,8937573,184976,0,5377112
"114",2013-10-22,3298143009,3247632482,79936840,79546827,42980855,36565972,29426313,6568278,22858035,5288609,17569426,390013,3305213,293199,0,2969866
"115",2013-10-23,3353317534,3298143009,91267273,90858249,49900947,40957302,36092748,10091591,26001157,4516810,21484347,409024,5686919,2362685,0,2041987
"116",2013-10-24,3361853569,3353317534,78253878,77836438,36198944,41637494,69717843,12002970,57714873,13328998,44385875,417440,6571640,1671006,0,3760324
"117",2013-10-25,3372042654,3361853569,72866681,72447322,40877617,31569705,62677596,7272391,55405205,11307679,44097526,419359,4352258,525543,0,2394590
"118",2013-10-26,3433690861,3372042654,89152724,88732584,53553142,35179442,27504517,3884163,23620354,3938287,19682067,420140,1973409,490223,0,1420531
"119",2013-10-27,3466404627,3433690861,58360160,57941819,31723985,26217834,25646394,8912469,16733925,2991698,13742227,418341,7636553,169700,0,1106216
"120",2013-10-28,3574644359,3466404627,175987478,175579262,139068876,36510386,67747746,8397637,59350109,6328760,53021349,408216,3748431,625032,0,4024174
"121",2013-10-29,3669848507,3574644359,147891369,147466261,92994403,54471858,52687221,5568015,47119206,10609627,36509579,425108,2229810,495593,0,2842612
"122",2013-10-30,3729908333,3669848507,123495252,123041276,73844565,49196711,63435426,9944894,53490532,21587379,31903153,453976,2957122,2016389,0,4971383
"123",2013-10-31,3741721725,3729908333,105655220,105186820,63832734,41354086,93841828,9008680,84833148,11402473,73430675,468400,3946439,1939459,0,3122782
"124",2013-11-01,3785096256,3741721725,90052647,89583024,49135445,40447579,46678116,6022119,40655997,3631756,37024241,469623,1673893,782271,0,3565955
"125",2013-11-02,3823914842,3785096256,60697754,60221119,33492424,26728695,21879168,3695380,18183788,10720255,7463533,476635,1193476,1348146,0,1153758
"126",2013-11-03,3899870984,3823914842,109705314,109229185,54544387,54684798,33749172,14756793,18992379,4449195,14543184,476129,11756073,236780,0,2763940
"127",2013-11-04,3926257646,3899870984,134705147,134230951,50095649,84135302,108318485,11163837,97154648,59527504,37627144,474196,6944314,1294048,0,2925475
"128",2013-11-05,3967784566,3926257646,170112074,169633176,76245313,93387863,128585154,15562031,113023123,33249058,79774065,478898,10303023,1953631,0,3305377
"129",2013-11-06,4013169530,3967784566,177181307,176687416,61444329,115243087,131796343,11154579,120641764,28279936,92361828,493891,6089946,1205042,0,3859591
"130",2013-11-07,4082936823,4013169530,219191421,218691748,110061517,108630231,149424128,13906471,135517657,18376077,117141580,499673,8395443,1525399,0,3985629
"131",2013-11-08,4232992711,4082936823,249304249,248801248,114283436,134517812,99248361,18642499,80605862,21102525,59503337,503001,13610867,1344855,0,3686777
"132",2013-11-09,4297397563,4232992711,123652022,123135576,41727804,81407772,59247170,5585151,53662019,13228399,40433620,516446,1403003,905498,0,3276650
"133",2013-11-10,4332550581,4297397563,158993537,158468355,45623758,112844597,123840519,15041292,108799227,27528397,81270830,525182,6701195,1599460,0,6740637
"134",2013-11-11,4229902364,4332550581,143416540,142812136,69579940,73232196,246064757,129341796,116722961,35469408,81253553,604404,8278504,3723255,27400000,89940037
"135",2013-11-12,4328995512,4229902364,173549641,172963461,99475201,73488260,74456493,15010529,59445964,19085434,40360530,586180,5740069,3058015,9e+05,5312445
"136",2013-11-13,4433069721,4328995512,158376990,157791004,67099024,90691980,54302781,11101063,43201718,11156044,32045674,585986,4682696,2996881,0,3421486
"137",2013-11-14,4539080718,4433069721,148622821,148054203,80609317,67444886,42611824,12824954,29786870,15245742,14541128,568618,4852316,2231870,0,5740768
"138",2013-11-15,4610812964,4539080718,116112820,115465600,51629240,63836360,44380574,11096779,33283795,10649032,22634763,647220,7440938,604830,0,3051011
"139",2013-11-16,4657850161,4610812964,85621804,85033630,38767945,46265685,38584607,8489457,30095150,9073155,21021995,588174,5943784,460670,0,2085003
"140",2013-11-17,4721287293,4657850161,98492364,97905348,37972564,59932784,35055232,10042765,25012467,5249938,19762529,587016,4377198,698092,0,4967475
"141",2013-11-18,4800692315,4721287293,145222355,144628244,61595035,83033209,65817333,15681247,50136086,9602551,40533535,594111,5779747,5648956,1e+05,4152544
"142",2013-11-19,4906622053,4800692315,165943591,165337268,91178353,74158915,60013853,10356816,49657037,22084023,27573014,606323,4204643,1734409,0,4417764
"143",2013-11-20,4972518980,4906622053,149019647,148386907,52321781,96065126,83122720,18303990,64818730,12380419,52438311,632740,12157564,2479453,4e+05,3266973
"144",2013-11-21,5133388034,4972518980,236672974,236024199,145729182,90295017,75803920,14102751,61701169,9296988,52404181,648775,5174766,4820591,0,4107394
"145",2013-11-22,5205905093,5133388034,139140591,138480171,60808667,77671504,66623532,10449514,56174018,11972209,44201809,660420,5604705,1333421,0,3511388
"146",2013-11-23,5202690965,5205905093,85234876,84552434,34798863,49753571,88449004,18499480,69949524,26735542,43213982,682442,13961868,1209921,0,3327691
"147",2013-11-24,5239857884,5202690965,97522283,96847911,56288754,40559157,60355364,12714653,47640711,18289525,29351186,674372,9242766,1611117,0,1860770
"148",2013-11-25,5336650893,5239857884,188023955,187345562,94887039,92458523,91230946,17080458,74150488,23156837,50993651,678393,10149877,750065,0,6180516
"149",2013-11-26,5438128871,5336650893,181397027,180702465,90999756,89702709,79919049,28690198,51228851,25171049,26057802,694562,19359004,4790045,1e+06,3541149
"150",2013-11-27,5411755297,5438128871,152083973,151360654,72606318,78754336,178457547,15702980,162754567,28767887,133986680,723319,5969829,2757339,0,6975812
"151",2013-11-28,5457202244,5411755297,152510165,151779605,60514019,91265586,107063218,28629013,78434205,10745013,67689192,730560,14756772,9218851,0,4653390
"152",2013-11-29,5505795946,5457202244,144836611,144100062,57513910,86586152,96242909,11700430,84542479,15134800,69407679,736549,6907086,1730550,0,3062794
"153",2013-11-30,5524022654,5505795946,94687796,93944263,37918957,56025306,76461088,9381586,67079502,28456254,38623248,743533,5107296,1040114,0,3234176
"154",2013-12-01,5607811650,5524022654,179080325,178343482,99541384,78802098,95291329,17494218,77797111,18142190,59654921,736843,11474576,2474149,0,3545493
"155",2013-12-02,5708533984,5607811650,207768089,207039619,103750788,103288831,107045755,20699489,86346266,37322794,49023472,728470,14636980,1829994,0,4232515
"156",2013-12-03,5779782867,5708533984,176533224,175790780,61846318,113944462,105284341,14500818,90783523,48056319,42727204,742444,7754266,1625273,0,5121279
"157",2013-12-04,5941776719,5779782867,253181565,252397853,150764211,101633642,91187713,19043951,72143762,25683361,46460401,783712,10881415,2829857,0,5332679
"158",2013-12-05,6018840122,5941776719,152989262,152191851,46189834,106002017,75925859,10414186,65511673,12278704,53232969,797411,5250305,1289729,0,3874152
"159",2013-12-06,6124711277,6018840122,198597129,197785236,105170216,92615020,92725974,21967172,70758802,22031997,48726805,811893,14216993,4508095,0,3242084
"160",2013-12-07,6187291998,6124711277,116093484,115274858,49420711,65854147,53512763,9497715,44015048,8995609,35019439,818626,4919827,716280,0,3861608
"161",2013-12-08,6261175751,6187291998,127532403,126718009,67930320,58787689,53648650,19142847,34505803,11357960,23147843,814394,14849165,474321,0,3819361
"162",2013-12-09,6323433067,6261175751,214664521,213825603,96718199,117107404,152407205,14723824,137683381,10779163,126904218,838918,6971986,3464600,0,4287238
"163",2013-12-10,6526476695,6323433067,281121012,280275100,152476206,127798894,78077384,15686013,62391371,22977996,39413375,845912,7848681,3068792,0,4768540
"164",2013-12-11,6716375028,6526476695,316266609,315379409,187366154,128013255,126368276,18645788,107722488,52750372,54972116,887200,11865118,2801445,0,3979225
"165",2013-12-12,6771103277,6716375028,172183635,171242986,67486205,103756781,117455386,35622088,81833298,19852814,61980484,940649,11143237,3064173,0,21414678
"166",2013-12-13,6834382209,6771103277,146722615,145762999,60416854,85346145,83443683,17538248,65905435,12692904,53212531,959616,7001720,7003931,0,3532597
"167",2013-12-14,6895971004,6834382209,134839018,133869389,73763461,60105928,73250223,17627499,55622724,12094731,43527993,969629,11341925,2361709,0,3923865
"168",2013-12-15,6955692802,6895971004,119396143,118432625,44148819,74283806,59674345,11653261,48021084,11340861,36680223,963518,6452380,1256350,0,3944531
"169",2013-12-16,7057656376,6955692802,188230089,187251045,50934507,136316538,86266515,17649818,68616697,17995840,50620857,979044,4340562,8894552,0,4414704
"170",2013-12-17,7161363781,7057656376,212780998,211807641,115568358,96239283,109073593,24237022,84836571,11012914,73823657,973357,16434667,1899375,0,5902980
"171",2013-12-18,7260788901,7161363781,190985922,189975254,58972461,131002793,91560802,12830997,78729805,19419751,59310054,1010668,7342984,1875224,0,3612789
"172",2013-12-19,7292444331,7260788901,144026114,142954219,56976848,85977371,112370684,13368859,99001825,22604848,76396977,1071895,8008118,1372657,200,3987884
"173",2013-12-20,7275432992,7292444331,131176893,130095972,52388143,77707829,148188232,18543936,129644296,21791051,107853245,1080921,8965360,4926577,100,4651899
"174",2013-12-21,7307341612,7275432992,91445173,90365725,27579880,62785845,59536553,13844669,45691884,9207541,36484343,1079448,7712379,2024225,5e+05,3608065
"175",2013-12-22,7391023064,7307341612,140558599,139482501,84436722,55045779,56877147,13318782,43558365,12235066,31323299,1076098,7195653,1151127,1e+05,4872002
"176",2013-12-23,7401466684,7391023064,190330016,189177974,66247253,122930721,179886396,27649415,152236981,30948575,121288406,1152042,15728783,5255885,10100,6654647
"177",2013-12-24,7450814369,7401466684,182690432,181550629,81487409,100063220,133342747,18012909,115329838,39349876,75979962,1139803,9870775,2112186,2e+05,5829948
"178",2013-12-25,7391845479,7450814369,153343940,152106264,61454161,90652103,212312830,22742345,189570485,66728903,122841582,1237676,14027484,3531355,250000,4933506
"179",2013-12-26,7433016331,7391845479,187935531,186655291,69444400,117210891,146764679,22498033,124266646,31034650,93231996,1280240,9231237,6920332,2e+06,4346464
"180",2013-12-27,7354497650,7433016331,173898861,172591563,61880635,110710928,252417542,25698095,226719447,38642066,188077381,1307298,14258577,6469703,10100,4959715
"181",2013-12-28,7452501196,7354497650,199852196,198567562,60195068,138372494,101848650,13176851,88671799,29315769,59356030,1284634,8344434,1647218,0,3185199
"182",2013-12-29,7551610773,7452501196,173772752,172499257,51842398,120656859,74663175,9465515,65197660,17584494,47613166,1273495,4906246,1176723,0,3382546
"183",2013-12-30,7734116093,7551610773,286491118,285209870,125657110,159552760,103985798,13875129,90110669,38876191,51234478,1281248,6075572,3191611,0,4607946
"184",2013-12-31,7947836365,7734116093,326974771,325688543,177058473,148630070,113254499,20684682,92569817,19959114,72610703,1286228,6705162,8093151,0,5886369
"185",2014-01-01,8206625677,7947836365,335862570,334501233,165317029,169184204,77073258,24631501,52441757,8451493,43990264,1361337,10401098,7665623,0,6564780
"186",2014-01-02,8383263636,8206625677,301179400,299752599,103993444,195759155,124541441,22414243,102127198,22817045,79310153,1426801,12216266,2893761,0,7304216
"187",2014-01-03,8559238524,8383263636,291336871,289890616,107736915,182153701,115361983,21470139,93891844,16768518,77123326,1446255,11955593,2404659,10000,7099887
"188",2014-01-04,8643347794,8559238524,155828144,154355236,47510428,106844808,71718874,18183461,53535413,7742758,45792655,1472908,9221919,3665489,0,5296053
"189",2014-01-05,8857866434,8643347794,321343539,319875293,225428542,94446751,106824899,18138045,88686854,41414118,47272736,1468246,10990567,2546887,0,4600591
"190",2014-01-06,9090316943,8857866434,371683914,370222127,199359208,170862919,139233405,32832378,106401027,39085554,67315473,1461787,17056759,3730044,2e+06,10045575
"191",2014-01-07,9320015097,9090316943,339901798,338373341,113252891,225120450,110203644,29708950,80494694,21198786,59295908,1528457,15797541,3866577,0,10044832
"192",2014-01-08,9476243310,9320015097,271765172,270126294,123029087,147097207,115536959,20926081,94610878,17416975,77193903,1638878,8414383,3452818,3e+05,8758880
"193",2014-01-09,9700084288,9476243310,345036273,343411913,164143768,179268145,121195295,24833148,96362147,21712672,74649475,1624360,13735951,1628778,2e+05,9268419
